time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1986-01-10T03:46:28.430Z,28.785,86.624,24.8,5.14,mw,,,,,iscgem,iscgem505384,2022-04-27T22:25:58.294Z,"82 km NNW of Lobujya, Nepal",earthquake,,4.7,0.1,,reviewed,iscgem,iscgem
1987-01-19T07:46:23.530Z,28.298,83.636,16.4,5.43,mw,,,,,iscgem,iscgem476875,2022-04-27T21:55:46.485Z,"4 km S of Chitre, Nepal",earthquake,,3.7,0.26,,reviewed,iscgem,iscgem
1987-01-19T08:12:05.450Z,28.309,83.607,15,5.29,mw,,,,,iscgem,iscgem476877,2022-04-27T21:55:47.609Z,"3 km SSW of B?glung, Nepal",earthquake,,3.8,0.2,,reviewed,iscgem,iscgem
1987-08-09T21:15:00.560Z,29.535,83.785,35,5.56,mw,,,,,iscgem,iscgem459395,2022-04-27T21:37:09.503Z,"119 km N of Chitre, Nepal",earthquake,,4.6,0.1,,reviewed,iscgem,iscgem
1988-04-20T06:40:24.240Z,26.99,86.644,26.3,5.63,mw,,,,,iscgem,iscgem441120,2022-04-28T20:49:48.130Z,"27 km N of Triyuga, Nepal",earthquake,,4.6,0.3,,reviewed,iscgem,iscgem
1988-06-12T10:15:47.240Z,28.59,82.41,15,5.21,mw,,,,,iscgem,iscgem435181,2022-04-28T20:44:08.261Z,"27 km NNW of Besisahar, Nepal",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1988-08-20T23:09:11.570Z,26.712,86.627,62,6.85,mw,,,,,iscgem,iscgem429573,2022-04-28T20:39:02.824Z,"9 km WSW of Triyuga, Nepal",earthquake,,5.1,0.1,,reviewed,iscgem,iscgem
1988-10-29T09:10:54.540Z,27.83,85.555,17,5.19,mw,,,,,iscgem,iscgem424138,2022-04-28T20:34:30.939Z,"21 km NE of Nagarkot, Nepal",earthquake,,3.8,0.1,,reviewed,iscgem,iscgem
1989-05-22T19:24:35.300Z,27.394,87.836,20,5.29,mw,,,,,iscgem,iscgem405404,2022-04-28T20:18:18.483Z,"37 km W of Gyalshing, India",earthquake,,13.2,0.22,,reviewed,iscgem,iscgem
1990-01-09T02:29:26.810Z,28.17,88.178,68.5,5.71,mw,,,,,iscgem,iscgem380700,2022-04-28T20:00:52.912Z,"86 km NNW of Mangan, India",earthquake,,6,0.46,,reviewed,iscgem,iscgem
1990-09-21T16:08:20.380Z,29.958,79.961,15,5.29,mw,,,,,iscgem,iscgem357104,2022-04-28T19:38:36.933Z,"10 km S of B?geshwar, India",earthquake,,8.1,0.2,,reviewed,iscgem,iscgem
1991-12-09T01:02:47.450Z,29.477,81.596,25.5,5.78,mw,,,,,iscgem,iscgem309949,2022-04-28T18:57:16.530Z,"61 km WNW of Jumla, Nepal",earthquake,,4.7,0.44,,reviewed,iscgem,iscgem
1992-06-02T22:07:46.480Z,28.959,81.945,51.6,5.39,mw,,,,,iscgem,iscgem285447,2022-04-28T18:42:50.386Z,"25 km NE of Dailekh, Nepal",earthquake,,6.1,0.33,,reviewed,iscgem,iscgem
1993-01-02T14:53:40.300Z,29.206,81.225,15,5.17,mw,,,,,iscgem,iscgem250225,2022-04-28T18:21:24.835Z,"21 km SE of Dipayal, Nepal",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1993-03-20T14:52:00.820Z,28.965,87.433,10.7,6.2,mw,,,,,iscgem,iscgem244089,2022-04-28T18:19:03.777Z,"135 km NNE of Lobujya, Nepal",earthquake,,3.5,0.1,,reviewed,iscgem,iscgem
1993-03-20T21:26:39.970Z,28.957,87.404,14.3,5.13,mw,,,,,iscgem,iscgem244126,2022-04-28T18:19:06.179Z,"128 km NNE of Lobujya, Nepal",earthquake,,3.8,0.1,,reviewed,iscgem,iscgem
1993-03-31T13:44:11.230Z,29.071,87.39,14.7,5.31,mw,,,,,iscgem,iscgem245852,2022-04-28T18:19:45.912Z,"136 km NNE of Lobujya, Nepal",earthquake,,3.9,0.22,,reviewed,iscgem,iscgem
1993-10-20T07:23:39.030Z,28.79,82.22,22.3,5.26,mw,,,,,iscgem,iscgem203601,2022-04-28T17:58:20.747Z,"53 km E of Dailekh, Nepal",earthquake,,4,0.22,,reviewed,iscgem,iscgem
1993-10-20T16:15:58.410Z,28.719,82.198,15,5.35,mw,,,,,iscgem,iscgem203693,2022-04-28T17:58:25.871Z,"55 km NNW of Besisahar, Nepal",earthquake,,4.5,0.31,,reviewed,iscgem,iscgem
1995-07-30T07:04:00.710Z,30.207,88.242,15,5.18,mw,,,,,iscgem,iscgem96111,2022-04-29T20:18:29.119Z,"129 km NNW of Rikaze, China",earthquake,,19.9,0.2,,reviewed,iscgem,iscgem
1996-04-26T16:30:58.200Z,27.941,87.817,15,5.32,mw,,,,,iscgem,iscgem960970,2022-04-29T20:18:25.790Z,"73 km NW of Gyalshing, India",earthquake,,12.3,0.33,,reviewed,iscgem,iscgem
1996-05-10T09:07:01.130Z,29.985,88.078,15,5.14,mw,,,,,iscgem,iscgem963502,2022-04-29T20:20:09.974Z,"114 km NW of Rikaze, China",earthquake,,19.9,0.2,,reviewed,iscgem,iscgem
1996-05-11T03:58:49.500Z,29.943,88.07,15.7,5.15,mw,,,,,iscgem,iscgem963632,2022-04-29T17:51:29.981Z,"112 km NW of Rikaze, China",earthquake,,3.8,0.2,,reviewed,iscgem,iscgem
1996-07-03T06:44:43.410Z,29.985,88.23,10,5.64,mw,,,,,iscgem,iscgem973371,2022-04-29T20:24:08.372Z,"120 km NW of Rikaze, China",earthquake,,3.9,0.1,,reviewed,iscgem,iscgem
1996-07-03T10:10:32.970Z,30.093,88.244,10,4.99,mw,,,,,iscgem,iscgem973400,2022-04-29T20:24:19.655Z,"100 km NW of Rikaze, China",earthquake,,3.5,0.1,,reviewed,iscgem,iscgem
1996-07-04T18:11:03.400Z,30.054,88.12,11.9,5.23,mw,,,,,iscgem,iscgem973625,2022-04-29T20:24:30.617Z,"114 km NW of Rikaze, China",earthquake,,3.6,0.22,,reviewed,iscgem,iscgem
1996-07-31T08:00:26.560Z,30.161,88.219,10,5.44,mw,,,,,iscgem,iscgem978153,2022-04-29T20:27:08.347Z,"123 km NW of Rikaze, China",earthquake,,3.6,0.1,,reviewed,iscgem,iscgem
1996-07-31T08:02:52.020Z,30.03,88.168,15,5.31,mw,,,,,iscgem,iscgem978155,2022-04-29T20:27:09.573Z,"119 km NW of Rikaze, China",earthquake,,19.9,0.2,,reviewed,iscgem,iscgem
1996-12-30T11:08:17.250Z,27.466,86.707,10,5.25,mw,,,,,iscgem,iscgem1004136,2022-04-29T16:39:22.326Z,"41 km S of Namche Bazar, Nepal",earthquake,,3.5,0.2,,reviewed,iscgem,iscgem
1997-01-05T08:47:25.040Z,29.792,80.598,17.6,5.53,mw,,,,,iscgem,iscgem1005021,2022-04-29T16:40:01.014Z,"1 km E of Dh?rchula, India",earthquake,,3.9,0.1,,reviewed,iscgem,iscgem
1997-01-31T20:02:17.560Z,28.046,85.218,18.5,5.37,mw,,,,,iscgem,iscgem1009045,2022-04-29T16:42:42.333Z,"33 km NW of Kathmandu, Nepal",earthquake,,4.7,0.2,,reviewed,iscgem,iscgem
1997-11-03T02:29:49.870Z,29.036,85.385,10,5.5,mw,,,,,iscgem,iscgem1050533,2022-04-29T17:06:41.619Z,"31 km SSE of Saga, China",earthquake,,3.8,0.1,,reviewed,iscgem,iscgem
1997-11-27T16:11:56.060Z,27.53,87.222,17.5,5.33,mw,,,,,iscgem,iscgem1055047,2022-04-29T17:09:20.125Z,"30 km NNE of Kh??db?ri??, Nepal",earthquake,,3.9,0.25,,reviewed,iscgem,iscgem
1997-12-08T02:03:55.360Z,27.502,87.219,14.6,5.22,mw,,,,,iscgem,iscgem1057474,2022-04-29T17:11:50.453Z,"11 km NNW of Kh??db?ri??, Nepal",earthquake,,3.8,0.23,,reviewed,iscgem,iscgem
1998-02-22T02:40:39.630Z,28.711,85.564,22.8,5.22,mw,,,,,iscgem,iscgem1078192,2022-04-29T17:19:54.855Z,"74 km NW of Kod?ri??, Nepal",earthquake,,4.5,0.26,,reviewed,iscgem,iscgem
